angle,Nasicon/C -1,Nasicon/P 1 21/n 1,Nasicon/P b n a,Nasicon/R -3 c H,ZrP2O7/P a -3,YPO4/I 41/a m d Z,Mg2P2O7/B 1 21/c 1 ,Mg2P2O7/P 1 21/c 1,P2O5/R 3 c H,P2O5/F d d 2,P2O5/P n a m,P2O5/R 3 c R,Y(PO3)3/R -3 H,Y(PO3)3/C 1 2/c 1,Y(PO3)3/P 1 21/m 1,Y(PO3)3/C 1 c 1
61.5,168.0,374.0,416.0,238.0,0.0,0.0,15.0,180.0,254.0,322.0,122.0,304.0,346.0,55.0,151.0,180.0
61.6,149.0,737.0,787.0,42.0,0.0,6.0,1.0,51.0,61.0,756.0,481.0,88.0,418.0,34.0,240.0,51.0
61.7,158.0,691.0,572.0,7.0,0.0,43.0,2.0,9.0,19.0,619.0,677.0,124.0,548.0,51.0,232.0,9.0
61.8,202.0,325.0,256.0,1.0,0.0,103.0,14.0,3.0,118.0,189.0,327.0,327.0,611.0,63.0,148.0,3.0
61.9,172.0,135.0,330.0,0.0,6.0,101.0,39.0,1.0,347.0,29.0,55.0,313.0,280.0,33.0,55.0,1.0
62.0,96.0,219.0,453.0,0.0,47.0,108.0,62.0,5.0,364.0,3.0,12.0,105.0,65.0,48.0,10.0,5.0
62.1,113.0,327.0,429.0,0.0,123.0,131.0,70.0,31.0,140.0,0.0,51.0,31.0,223.0,144.0,24.0,31.0
62.2,147.0,326.0,286.0,0.0,110.0,67.0,41.0,83.0,20.0,1.0,98.0,56.0,887.0,189.0,117.0,83.0
62.3,121.0,254.0,194.0,0.0,34.0,13.0,10.0,90.0,1.0,74.0,65.0,57.0,1331.0,164.0,203.0,90.0
62.4,89.0,231.0,117.0,0.0,4.0,13.0,4.0,39.0,0.0,542.0,15.0,20.0,984.0,132.0,136.0,39.0
62.5,177.0,241.0,40.0,2.0,0.0,45.0,7.0,10.0,0.0,1406.0,1.0,2.0,653.0,74.0,76.0,10.0
62.6,386.0,192.0,12.0,2.0,0.0,58.0,7.0,9.0,0.0,1294.0,0.0,0.0,490.0,58.0,59.0,9.0
62.7,572.0,112.0,7.0,1.0,0.0,26.0,12.0,24.0,9.0,430.0,0.0,0.0,929.0,61.0,47.0,24.0
62.8,703.0,62.0,17.0,3.0,0.0,4.0,33.0,44.0,124.0,54.0,0.0,0.0,1250.0,42.0,65.0,44.0
62.9,482.0,29.0,30.0,41.0,0.0,0.0,52.0,52.0,583.0,1.0,0.0,0.0,782.0,33.0,59.0,52.0
63.0,137.0,21.0,42.0,220.0,0.0,0.0,77.0,41.0,943.0,0.0,0.0,0.0,621.0,85.0,73.0,41.0
63.1,62.0,50.0,79.0,410.0,0.0,0.0,153.0,99.0,524.0,0.0,4.0,22.0,629.0,114.0,192.0,99.0
63.2,152.0,234.0,193.0,316.0,0.0,0.0,177.0,306.0,100.0,0.0,59.0,209.0,366.0,56.0,228.0,306.0
